Work Number;Artists;Title;Date;Date (Acquisition);Credit Line;Prize in £ (Original Prize); Prize normed ; Gender ;
T15126;LACHAISE, Gaston 1882-1935;Elevation;1912-27, cast 2012;2018-2019;presented;US $2,000,000 (£1,469,400); 1.469.400,00   ; (Male) ;
P14977;LANDY, Michael born 1963;Appropriation 3;1990;2018-2019;presented;£5,000; 5.000,00   ; (Male) ;
P14978;LANDY, Michael born 1963;Appropriation 4;1990;2018-2019;presented;£5,000; 5.000,00   ; (Male) ;
T15121;LANYON, Andrew born 1947;The discovery of Alfred Wallis by Ben Nicholson and Christopher Wood on a visit to St Ives in 1928 ~ 50 years after ~;1978-9;2018-2019;presented;£3,000; 3.000,00   ; (Male) ;
P82220;LIJN, Liliane born 1939;Crossing Map;1983-2002;2018-2019;purchased;£2,261.19; 2.261,19   ; (Female) ;
T15095;LIJN, Liliane born 1939;Time is Change;1964-5;2018-2019;purchased;£52,761.19; 52.761,19   ; (Female) ;
T15096;LIJN, Liliane born 1939;Headborn;1987-90;2018-2019;purchased;£48,992.54; 48.992,54   ; (Female) ;
T15097;LIJN, Liliane born 1939;Bridal Wound;1986-90;2018-2019;purchased;£48,992.54; 48.992,54   ; (Female) ;
T15098;LIJN, Liliane born 1939;Armoured Head;1990;2018-2019;purchased;£48,992.54; 48.992,54   ; (Female) ;
P82180;LUTZ, Igor born 1959 & ZAKHAROV, Vadim born 1959;Gestures of Appeal;1979;2018-2019;purchased;EUR 19,800 (£17,706.29) for whole package; 17.706,29   ; (Group) ;
P82181;LUTZ, Igor born 1959 & ZAKHAROV, Vadim born 1959;Making Moscow Green - Planting Trees;1979, printed 2017;2018-2019;purchased;""""; -     ; (Group) ;
P82182;LUTZ, Igor born 1959 & ZAKHAROV, Vadim born 1959;Keeping Moscow Clean;1979, printed 2017;2018-2019;purchased;""""; -     ; (Group) ;
P82183;LUTZ, Igor born 1959 & ZAKHAROV, Vadim born 1959;Patrolling the Moscow River;1979, printed 2017;2018-2019;purchased;""""; -     ; (Group) ;
T15053;MAIOLINO, Anna Maria born 1942;Y;1974;2018-2019;presented;£ 52,800 (US $80,000); 52.800,00   ; (Female) ;
T15099;MARTEN, Helen born 1985;Untitled;2015;2018-2019;presented;£13,000; 13.000,00   ; (Female) ;
T15051;MEISELAS, Susan born 1948;20 dirhams or 1 photo?;2014;2018-2019;purchased;US $ 60,000 (£41,768.22; 41.768,22   ; (Female) ;
T15048;MELEHI, Mohammed born 1936;Casa;1970;2018-2019;purchased;£70,000; 70.000,00   ; (Male) ;
T15208;MELLOR, Dawn born 1970;Police Constable Norika Datta (Seeta Indrani);2016;2018-2019;purchased;US $34,000 (£26,272.66) for whole package; 5.254,53   ; (Non-Binary) ;
T15209;MELLOR, Dawn born 1970;Sergeant June Ackland (Trudie Goodwin);2016;2018-2019;purchased;""""; 5.254,53   ; (Non-Binary) ;
T15210;MELLOR, Dawn born 1970;Police Constable Jamila Blake (Lolita Chakrabarti);2016;2018-2019;purchased;""""; 5.254,53   ; (Non-Binary) ;
T15211;MELLOR, Dawn born 1970;Police Constable Di Worrell (Jane Wall);2016;2018-2019;purchased;""""; 5.254,53   ; (Non-Binary) ;
T15212;MELLOR, Dawn born 1970;Police Constable Kate McFay (Maxine Peake);2016;2018-2019;purchased;""""; 5.254,53   ; (Non-Binary) ;
