Work Number;Artists;Title;Date;Date (Acquisition);Credit Line;Prize in £ (Original Prize); Prize normed ; Gender ;
;ABIDI, Bani born 1971;Reserved (2006);;2014-2015;purchased;14,400; 14.400,00   ; (Female) ;
;AHERN, John H.;Tram Stop, London (c.1930);;2014-2015;presented;1,600 *; 1.600,00   ; (Male) ;
;AHERN, John H.;Streetcar Stop, London (c.1930);;2014-2015;presented;1,600 *; 1.600,00   ; (Male) ;
;AHERN, John H.;Warning! (c.1930);;2014-2015;presented;2,000 *; 2.000,00   ; (Male) ;
;AHERN, John H.;Fun of the fair (c.1939);;2014-2015;presented;2,000 *; 2.000,00   ; (Male) ;
;AHERN, John H.;Berwick Street Market (c.1930);;2014-2015;presented;1,600 *; 1.600,00   ; (Male) ;
;AINSLIE, Sarah;Shoreditch, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AINSLIE, Sarah;Shoreditch, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AINSLIE, Sarah;Smithfield, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AINSLIE, Sarah;Smithfield, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AINSLIE, Sarah;Shoreditch, London (1998);;2014-2015;presented;500 *; 500,00   ; (Female) ;
;AKOMFRAH, John born 1957;The Unfinished Conversa[on (2012);;2014-2015;purchased;200,000; 200.000,00   ; (Male) ;
;AINSLIE, Sarah;Sabra and Sha[la Massacre (1982-3);;2014-2015;purchased;500,000; 500.000,00   ; (Female) ;
;ARAKI, Nobuyoshi born 1940;Past Tense (c.1970s);;2014-2015;purchased;Yen 15,000,000; 83.250,00   ; (Male) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Dialec[cal Materialism (1975);;2014-2015;purchased;103,500; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Un[tled (1977);;2014-2015;purchased;in package above; 9.409,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Index: Incident in a Museum XIX (1987);;2014-2015;purchased;70,000; 70.000,00   ; (Group) ;
;"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)";Karaoke (2005);;2014-2015;purchased;59,500; 59.500,00   ; (Group) ;
;AUAD, Tonico Lemos born 1968;Procissão 1 (2013);;2014-2015;purchased;16,000; 16.000,00   ; (Male) ;
;AUAD, Tonico Lemos born 1968;Procissão 2 (2013);;2014-2015;purchased;16,000; 16.000,00   ; (Male) ;
;AUERBACH, Frank born 1931;Mornington Crescent - Summer Morning (2004);;2014-2015;allocated;1,260,000 ¹; 1.260.000,00   ; (Male) ;
;BÄCKSTRÖM, Miriam born 1967;Museums, Collec[ons and Reconstruc[ons, Stockholm City Museum, S[cklbarvagen 7, Sweden (m013) (1999);;2014-2015;presented;£ 6,815.83 (US $ 11,000.00); 6.815,83   ; (Female) ;
;BÄCKSTRÖM, Miriam born 1967;Museums, Collec[ons and Reconstruc[ons, IKEA Corporate Museum, IKEA through the ages, Almhult, Sweden (1999);;2014-2015;presented;£ 32,221.53 (US $ 52,002.00); 32.221,53   ; (Female) ;
;"BALTEO YAZBECK, Alessandro born
1972; associated with FARZIN, Media";Chronoscope 1951, 11pm (2009 -11);;2014-2015;presented;10,000; 10.000,00   ; (Male) ;
;BARLOW, Phyllida born 1944;un[tled: holedgroup (2012);;2014-2015;purchased;8,000; 8.000,00   ; (Female) ;
;BARLOW, Phyllida born 1944;un[tled: holed (2012);;2014-2015;purchased;8,000; 8.000,00   ; (Female) ;
;BEALE, Charles 1660-?1726;Mary Beale (1679);;2014-2015;purchased;32000; 32.000,00   ; (Female) ;
;BERKOFF, Steven born 1937;Un[tled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Un[tled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Bloom's Deli, Whitechapel High Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Brick Lane (c.1960);;2014-2015;presented;750 *; 750,00   ; (Male) ;
;BERKOFF, Steven born 1937;Mrs Jack Waller, Leyden Street (c.1960);;2014-2015;presented;750 *; 750,00   ; (Male) ;
;BERKOFF, Steven born 1937;Old lady in her shop, Jubilee Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Brick Lane (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Untiled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Untiled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Hessel Street, London (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;A Poultry Slaughterer, The Lane (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;J. Berland, Brick Lane (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;The butcher's assistant, Jack Waller's poultry shop, Leyden Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Un[tled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Un[tled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Hessel Street, London (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Old lady in her shop, Jubilee Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Wentworth Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;The butcher's assistant, Jack Waller's poultry shop, Leyden Street (c.1960);;2014-2015;presented;750 *; 750,00   ; (Male) ;
;BERKOFF, Steven born 1937;Old lady in her shop, Jubilee Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Un[tled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Bagel Seller, 'Marks of the Lane' Deli, Wentworth Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Old lady in her shop, Jubilee Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;P. Lipman, Poultry Dealer, Hessel Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Untiled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Sunday Morning, Brick Lane (c.1960);;2014-2015;presented;750 *; 750,00   ; (Male) ;
;BERKOFF, Steven born 1937;Brick Lane (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Un[tled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Skin Head (c.1960);;2014-2015;presented;750 *; 750,00   ; (Male) ;
;BERKOFF, Steven born 1937;Brick Lane Pub, Sunday Morning (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;My friend Alistair Merry, The Lane (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Flower and Dean Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Flower and Dean Street (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;Looking for business, Brick Lane (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;'Me' at 30 (c.1960);;2014-2015;presented;750 *; 750,00   ; (Male) ;
;BERKOFF, Steven born 1937;Un[tled (c.1960);;2014-2015;presented;500 *; 500,00   ; (Male) ;
;BERKOFF, Steven born 1937;The Lane (c.1960);;2014-2015;presented;750 *; 750,00   ; (Male) ;
;BERRY, Ian born 1934;Man with his daughter and kinen, Whitechapel, London (1972);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERRY, Ian born 1934;Serpen[ne Gallery, Hyde Park, London (1972);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERRY, Ian born 1934;Spitalfields, East London (1976);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERRY, Ian born 1934;Banersea Town Hall (1975);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERRY, Ian born 1934;Elderly lady awai[ng train in front of statue, Paddington Sta[on, London (1969);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERRY, Ian born 1934;An elderly grocer gazes out from his vegetable shop window (1972);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERRY, Ian born 1934;Outside Catholic Feeding Centre, Whitechapel, London (1972);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERRY, Ian born 1934;Serpen[ne Gallery, Hyde Park, London (1972);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERRY, Ian born 1934;Harrods Store, London (1975);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERRY, Ian born 1934;New Year's Eve, Trafalgar Square, London (1964);;2014-2015;presented;2,500 *; 2.500,00   ; (Male) ;
;BERTLMANN, Renate born 1943;Exhibi[onism Exhibi[onismus (1973);;2014-2015;partly presented, partly purchased;30,000; 30.000,00   ; (Female) ;
;BISCHOF, Werner 1916 - 1954;Underside of a leaf (1933-36);;2014-2015;purchased;1,600; 1.600,00   ; (Male) ;
;BISCHOF, Werner 1916 - 1954;Crate with cardboard (1933);;2014-2015;purchased;1,600; 1.600,00   ; (Male) ;
;BISCHOF, Werner 1916 - 1954;Un[tled (1934);;2014-2015;purchased;1,600; 1.600,00   ; (Male) ;
;BISCHOF, Werner 1916 - 1954;Un[tled (1934);;2014-2015;purchased;1,600; 1.600,00   ; (Male) ;
;BISWAS, Sutapa born 1962;Kali (1984);;2014-2015;presented;5,000; 5.000,00   ; (Female) ;
;BOGART, Bram 1921 - 2012;Absolu[on Absolu[e (1959);;2014-2015;presented;150,000; 150.000,00   ; (Male) ;
;BOGART, Bram 1921 - 2012;Rye Summer Roggezomer (1963);;2014-2015;presented;60,000; 60.000,00   ; (Male) ;
;BOGART, Bram 1921 - 2012;White plane white Witvlakwit (1974);;2014-2015;presented;80,000; 80.000,00   ; (Male) ;
;BOGART, Bram 1921 - 2012;Threatened Cockerel (1956);;2014-2015;presented;100,000; 100.000,00   ; (Male) ;
;BOHM, Dorothy born 1924;Billingsgate Fish Market, London (c.1960);;2014-2015;presented;1,000 *; 1.000,00   ; (Female) ;
;BOHM, Dorothy born 1924;Near Embankment Sta[on, London (c. 1970);;2014-2015;presented;1,000 *; 1.000,00   ; (Female) ;
;BOHM, Dorothy born 1924;Chelsea, London (1968);;2014-2015;presented;1,000 *; 1.000,00   ; (Female) ;
;BOHM, Dorothy born 1924;St Pancras Church Gardens (c.1960);;2014-2015;presented;1,000 *; 1.000,00   ; (Female) ;
;BOHM, Dorothy born 1924;London (c.1960);;2014-2015;presented;1,000 *; 1.000,00   ; (Female) ;
;BOHM, Dorothy born 1924;West End Clinic, London (1980);;2014-2015;presented;1,000 *; 1.000,00   ; (Female) ;
;BOHM, Dorothy born 1924;Norng Hill, London (c. 1960);;2014-2015;presented;1,000 *; 1.000,00   ; (Female) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 6. The Oxford Arms, Warwick Lane (1875);;2014-2015;presented;25,000 *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 1. The Oxford Arms, Warwick Lane (1875);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 2. The Oxford Arms, Warwick Lane (1875);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 3. The Oxford Arms, Warwick Lane (1875);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 4. The Oxford Arms, Warwick Lane (1875);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 5. The Oxford Arms, Warwick Lane (1875);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 7. Old Houses in Wych Street (1876);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 8. Old Houses in Wych Street (1876);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 9. Old Houses in Drury Lane (1876);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 10. Old Houses in Drury Lane (1876);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 11. Lincoln's Inn Gateway, 1518 (1876);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 12. Lincoln's Inn Old Square (1876);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 13. St Bartholomew The Great (1877);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 14. St Bartholomew The Great (1877);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 15. St Bartholomew The Great (1877);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 16. St Bartholomew The Great and Cloth Fair;;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 17. St Bartholomew The Great and Cloth Fair;;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 19. Temple Bar (1878);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 20. 102 Leadenhall Street (1878);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 22. Shop in Brewer Street, Soho (1878);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 23. The Sir Paul Pindar, Bishopsgate Street;;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 18. Cloth Fair (1877);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 21. Old Houses in Gray's Inn Lane (1878);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;"BOOL, Alfred and John
DIXON, Henry 1820-1893";No. 24. Old Houses in Holborn (1878);;2014-2015;presented;for package see *; 1.041,66   ; (Group) ;
;BRANDT, Bill 1904-1983;Portrait of a Young Girl, Eaton Place (1955);;2014-2015;presented;3,000 *; 3.000,00   ; (Male) ;
;BRANDT, Bill 1904-1983;Nude in bedroom, Camden Hill (1949);;2014-2015;presented;3,000 *; 3.000,00   ; (Male) ;
;BRANDT, Bill 1904-1983;Glenda Jackson (1971);;2014-2015;presented;1,000 *; 1.000,00   ; (Male) ;
;BRANZI, Piergiorgio born 1928;Paris, Wall Parigi, Muro (1954);;2014-2015;allocated;3,320 ¹; 3.320,00   ; (Male) ;
;BRANZI, Piergiorgio born 1928;Florence, Street Circus Firenze, Circo All'aperto (1954);;2014-2015;allocated;4,565 ¹; 4.565,00   ; (Male) ;
;BRANZI, Piergiorgio born 1928;White Wall - with Small Window Il Muro Bianco - con Finestrella (1953);;2014-2015;allocated;4,565 ¹; 4.565,00   ; (Male) ;
;BRANZI, Piergiorgio born 1928;Florence, Alley in Via del Corso Firenze, Vicolo in Via del Corso (1954);;2014-2015;allocated;3,320 ¹; 3.320,00   ; (Male) ;
;BRANZI, Piergiorgio born 1928;Florence, Alley in Via del Corso Firenze, Vicolo in Via del Corso (1954);;2014-2015;allocated;3,320 ¹; 3.320,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRASSAI, 1899-1984;Graffi[ (c.1950s);;2014-2015;purchased;8,000; 8.000,00   ; (Male) ;
;BRODSKY, Marcelo born 1954;Memory Bridge Puente de la memoria (1996);;2014-2015;presented;US $2,000; 1.260,00   ; (Male) ;
;BRODSKY, Marcelo born 1954;from Buena Memoria, 1st year, 6th division, Class Photo 1967 de Buena Memoria, 1er año, 6ta division, foto de clase 1967 (1996);;2014-2015;purchased;US $20,000; 12.600,00   ; (Male) ;
;"BULLOCH, Angela born 1966
WAGENER, Imke born 1971";Ann Lee Konnek[kit, Lunaphon (2002);;2014-2015;presented;£ 6,044.20 (US $ 10,000.00); 6.044,20   ; (Group) ;
;"BULLOCH, Angela born 1966
WAGENER, Imke born 1971";Ann Lee Konnek[kit, Polypop (2002);;2014-2015;presented;£ 6,044.20 (US $ 10,000.00); 6.044,20   ; (Group) ;
;"BULLOCH, Angela born 1966
WAGENER, Imke born 1971";Ann Lee Konnek[kit, Chiffrevue (2002);;2014-2015;presented;£ 6,044.20 (US $ 10,000.00); 6.044,20   ; (Group) ;
;BURMAN, Chila Kumari;Triptych No Nukes (1982);;2014-2015;purchased;8,000; 8.000,00   ; (Female) ;
;BURMAN, Chila Kumari;If There is No Struggle, There is No Progress - Uprisings (1981);;2014-2015;purchased;4,000; 4.000,00   ; (Female) ;
;BURMAN, Chila Kumari;Cut - Foot - Pupil- Uprisings (1981);;2014-2015;purchased;6,000; 6.000,00   ; (Female) ;
;BURMAN, Chila Kumari;Three Mug Shots in a Row (1982);;2014-2015;purchased;3,000; 3.000,00   ; (Female) ;
;BURMAN, Chila Kumari;Red Riots on Indian Paper (1981);;2014-2015;purchased;4,000; 4.000,00   ; (Female) ;
;BURMAN, Chila Kumari;Militant Women (1981);;2014-2015;purchased;3,000; 3.000,00   ; (Female) ;
;BURSZTYN, Feliza 1933-1982;The Mechanical Ballet La baila mecánica (1979);;2014-2015;presented;£ 143,620.00 (Euros 167,000.00); 143.620,00   ; (Female) ;
;BURTON, Ron;Metropolitan Water Board Inspectors locate water leaks, London (unknown);;2014-2015;presented;100; 100,00   ; (Unknown) ;
;BÜTTNER, Andrea born 1972;Tent (igloo) (2012);;2014-2015;purchased;3,812.05; 3.812,05   ; (Female) ;
;BÜTTNER, Andrea born 1972;Drinking Man (2010);;2014-2015;purchased;4,158.60; 4.158,60   ; (Female) ;
;BÜTTNER, Andrea born 1972;Un[tled (smear of brown) (2011);;2014-2015;purchased;3,465.50; 3.465,50   ; (Female) ;
;BÜTTNER, Andrea born 1972;Un[tled (red, blue) (2011);;2014-2015;purchased;3,465.50; 3.465,50   ; (Female) ;
;BÜTTNER, Andrea born 1972;Benches (2012);;2014-2015;purchased;9,701.85; 9.701,85   ; (Female) ;
;CALLE, Sophie born 1953;Purloined (Turner) (1998–2013);;2014-2015;purchased;60,000.00; 60.000,00   ; (Female) ;
;CALLE, Sophie born 1953;Purloined (Lucian Freud, Portrait of Francis Bacon) (1998–2013);;2014-2015;purchased;32,000.00; 32.000,00   ; (Female) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet A Alfabeto Urbano A (1957, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet B Alfabeto Urbano B (1961, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet C Alfabeto Urbano C (1961, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet D Alfabeto Urbano D (1955, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet E Alfabeto Urbano E (1957, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet F Alfabeto Urbano F (1961, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet G Alfabeto Urbano G (1961, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet H Alfabeto Urbano H (1957, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet L Alfabeto Urbano L (1957, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet M Alfabeto Urbano M (1961, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet O Alfabeto Urbano O (1961, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet P Alfabeto Urbano P (1961, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet R Alfabeto Urbano R (1961, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet S Alfabeto Urbano S (1959, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet T Alfabeto Urbano T (1957, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CAMISA, Alfredo 1927 - 2007;Urban Alphabet X Alfabeto Urbano X (1961, printed 2005);;2014-2015;allocated;2,075 ¹; 2.075,00   ; (Male) ;
;CARNEGIE, Gillian born 1971;Hanser (2010);;2014-2015;presented;£ 6,867.92 (US $ 11,000.00); 6.867,92   ; (Female) ;
;CARNEGIE, Gillian born 1971;Un[tled (2008);;2014-2015;purchased;45,050; 45.050,00   ; (Female) ;
;CASTELLA, Vincenzo born 1952;Malta #2-4 (2011);;2014-2015;allocated;14,176 ¹; 14.176,00   ; (Male) ;
;CASTELLA, Vincenzo born 1952;Malta #2-5 (2011);;2014-2015;allocated;14,176 ¹; 14.176,00   ; (Male) ;
;CASTELLA, Vincenzo born 1952;Malta #3-6 (2011);;2014-2015;allocated;14,176 ¹; 14.176,00   ; (Male) ;
;CASTELLA, Vincenzo born 1952;Malta #3-12 (2011);;2014-2015;allocated;14,176 ¹; 14.176,00   ; (Male) ;
;CASTELLA, Vincenzo born 1952;Malta #4-21 (2011);;2014-2015;allocated;14,176 ¹; 14.176,00   ; (Male) ;
;CAVALLI, Giuseppe 1904 - 1961;The Hand and the Mirror La Mano e lo Specchio (1951);;2014-2015;allocated;8,300 ¹; 8.300,00   ; (Male) ;
;CAVALLI, Giuseppe 1904 - 1961;Cabins Cabine (1955);;2014-2015;allocated;9,960 ¹; 9.960,00   ; (Male) ;
;CAVALLI, Giuseppe 1904 - 1961;Desire for Immensity Desiderio d'Immenso (1954);;2014-2015;allocated;9,960 ¹; 9.960,00   ; (Male) ;
;CAVALLI, Giuseppe 1904 - 1961;The Padlock - Forbidden Entry Il Luccheno - Vietato l'Ingresso (1954);;2014-2015;allocated;8,300 ¹; 8.300,00   ; (Male) ;
;CAVALLI, Giuseppe 1904 - 1961;Winter Inverno (1946);;2014-2015;allocated;8,300 ¹; 8.300,00   ; (Male) ;
;CAVALLI, Giuseppe 1904 - 1961;Carnival in Fano Carnevale a Fano (1950);;2014-2015;allocated;8,300 ¹; 8.300,00   ; (Male) ;
;CHHACHHI, Sheba born 1958;Devikripa - Staged Portrait, Seemapuri, Delhi (1990, printed 2014);;2014-2015;purchased;4,000,000 INR (£49,887); 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Devikripa - Sit-in, Family Planning Centre, Nandnagari, Delhi (1988, printed 2014);;2014-2015;purchased;as above; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Urvashi - Street play, 'Om Swaha', Mehrauli, Delhi (1982, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
;CHHACHHI, Sheba born 1958;Urvashi - Staged Portrait, Gulmohar Park, Delhi (1990, printed 2014);;2014-2015;purchased;""""; 49.887,00   ; (Female) ;
